# NEPTS  2002 NPROJ     3 NSPIN     1
#
@ XAXIS LABEL "E-EFERMI (HARTREE)"
@ YAXIS LABEL "DENSITY OF STATES (STATES/HARTREE/CELL)"
 -5.7141E-02  8.3545E+00  8.3545E+00  1.2816E+02
 -5.6757E-02  8.3312E+00  8.3312E+00  1.2885E+02
 -5.6373E-02  8.2999E+00  8.2999E+00  1.2936E+02
 -5.5990E-02  8.2634E+00  8.2634E+00  1.2968E+02
 -5.5606E-02  8.2246E+00  8.2246E+00  1.2984E+02
 -5.5222E-02  8.1867E+00  8.1867E+00  1.2985E+02
 -5.4838E-02  8.1526E+00  8.1526E+00  1.2974E+02
 -5.4455E-02  8.1242E+00  8.1242E+00  1.2950E+02
 -5.4071E-02  8.1024E+00  8.1024E+00  1.2915E+02
 -5.3687E-02  8.0858E+00  8.0858E+00  1.2866E+02
 -5.3303E-02  8.0701E+00  8.0701E+00  1.2797E+02
 -5.2920E-02  8.0474E+00  8.0474E+00  1.2701E+02
 -5.2536E-02  8.0045E+00  8.0045E+00  1.2563E+02
 -5.2152E-02  7.9222E+00  7.9222E+00  1.2362E+02
 -5.1769E-02  7.7738E+00  7.7738E+00  1.2072E+02
 -5.1385E-02  7.5230E+00  7.5230E+00  1.1654E+02
 -5.1001E-02  7.1223E+00  7.1223E+00  1.1059E+02
 -5.0617E-02  6.5365E+00  6.5365E+00  1.0218E+02
 -5.0234E-02  5.9736E+00  5.9736E+00  9.4167E+01
 -4.9850E-02  5.4403E+00  5.4403E+00  8.6645E+01
 -4.9466E-02  5.0675E+00  5.0675E+00  8.1567E+01
 -4.9082E-02  4.9346E+00  4.9346E+00  8.0114E+01
 -4.8699E-02  4.8469E+00  4.8469E+00  7.9393E+01
 -4.8315E-02  4.8082E+00  4.8082E+00  7.9455E+01
 -4.7931E-02  4.8210E+00  4.8210E+00  8.0335E+01
 -4.7547E-02  4.8866E+00  4.8866E+00  8.2049E+01
 -4.7164E-02  5.0055E+00  5.0055E+00  8.4596E+01
 -4.6780E-02  5.1765E+00  5.1765E+00  8.7953E+01
 -4.6396E-02  5.3975E+00  5.3975E+00  9.2077E+01
 -4.6013E-02  5.6649E+00  5.6649E+00  9.6909E+01
 -4.5629E-02  5.9739E+00  5.9739E+00  1.0237E+02
 -4.5245E-02  6.3187E+00  6.3187E+00  1.0835E+02
 -4.4861E-02  6.6922E+00  6.6922E+00  1.1475E+02
 -4.4478E-02  7.0865E+00  7.0865E+00  1.2143E+02
 -4.4094E-02  7.4930E+00  7.4930E+00  1.2826E+02
 -4.3710E-02  7.9024E+00  7.9024E+00  1.3508E+02
 -4.3326E-02  8.3049E+00  8.3049E+00  1.4175E+02
 -4.2943E-02  8.6907E+00  8.6907E+00  1.4812E+02
 -4.2559E-02  9.0502E+00  9.0502E+00  1.5402E+02
 -4.2175E-02  9.3739E+00  9.3739E+00  1.5932E+02
